,airconditioning_exception,airconditioning_financial_score,airconditioning_qualification,airconditioning_rank,airconditioning_technical_score,airconditioning_total_score,asphalt_exception,asphalt_financial_score,asphalt_qualification,asphalt_rank,asphalt_technical_score,asphalt_total_score,bridge_exception,bridge_financial_score,bridge_qualification,bridge_rank,bridge_technical_score,bridge_total_score,bridgemaintenance_exception,bridgemaintenance_financial_score,bridgemaintenance_qualification,bridgemaintenance_rank,bridgemaintenance_score,bridgemaintenance_technical_score,builiding_exception,builiding_financial_score,builiding_qualification,builiding_rank,builiding_technical_score,builiding_total_score,cement_exception,cement_financial_score,cement_qualification,cement_rank,cement_technical_score,cement_total_score,ceo_name,civilengineering_exception,civilengineering_financial_score,civilengineering_qualification,civilengineering_rank,civilengineering_technical_score,civilengineering_total_score,communication_exception,communication_financial_score,communication_qualification,communication_rank,communication_technical_score,communication_total_score,date,dredging_exception,dredging_financial_score,dredging_qualification,dredging_rank,dredging_technical_score,dredging_total_score,electricity_exception,electricity_financial_score,electricity_qualification,electricity_rank,electricity_technical_score,electricity_total_score,firm_address,firm_id,firm_name,grout_exception,grout_financial_score,grout_qualification,grout_rank,grout_technical_score,grout_total_score,landscaping_exception,landscaping_financial_score,landscaping_qualification,landscaping_rank,landscaping_technical_score,landscaping_total_score,machinery_exception,machinery_financial_score,machinery_qualification,machinery_rank,machinery_technical_score,machinery_total_score,maintenance_exception,maintenance_financial_score,maintenance_qualification,maintenance_rank,maintenance_technical_score,maintenance_total_score,painting_exception,painting_financial_score,painting_qualification,painting_rank,painting_technical_score,painting_total_score,prefab_exception,prefab_financial_score,prefab_qualification,prefab_rank,prefab_technical_score,prefab_total_score,prestressed_exception,prestressed_financial_score,prestressed_qualification,prestressed_rank,prestressed_technical_score,prestressed_total_score,slope_exception,slope_financial_score,slope_qualification,slope_rank,slope_technical_score,slope_total_score,stakeout_exception,stakeout_financial_score,stakeout_qualification,stakeout_rank,stakeout_technical_score,stakeout_total_score,substation_exception,substation_financial_score,substation_qualification,substation_rank,substation_technical_score,substation_total_score,well_exception,well_financial_score,well_qualification,well_rank,well_technical_score,well_total_score,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_technical_score,woodenbuiliding_total_score
14, ,1348,B, 326,0,1348, ,1165,C, 268,0,1165, ,1187,○, 156,0,1187, ,1404,○,  37,1404,0, ,1888,A,  12,1684,3572, ,1165,○,  81,0,1165,高瀬　伸利, ,1882,A,   8,1929,3811, ,1187,○, 283,0,1187,20211215, ,1163,○,  75,0,1163, ,1203,C,  66,0,1203,東京都港区虎ノ門１－１７－１,8010401021454,西松建設（株）, ,1539,○,  31,0,1539, ,1122,B,  26,0,1122, ,1323,○, 251,0,1323, ,1620,○,  30,1027,2647, ,1171,○, 218,0,1171, ,1410,○,  21,0,1410, ,1407,○,  35,758,2165, ,1537,○, 289,0,1537, ,1215,○,  41,0,1215, ,1169,○, 227,0,1169,,,,,,, ,1493,○,  25,0,1493
15, ,1287,C,   6,0,1287, ,1008,C, 320,0,1008, ,1190,○, 155,0,1190,-01,1335,○,  56,1335,0,-23,1775,B,  特,1429,3204, ,972,○, 151,0,972,朝倉　健夫, ,1693,A,  26,1664,3357,,,,,,,20211215, ,1006,○,  99,0,1006, ,1117,C, 102,0,1117,東京都港区赤坂４－９－９,3010401022812,日本国土開発（株）, ,1335,○,  52,0,1335, ,983,B,  66,0,983, ,1154,○, 298,0,1154, ,1473,○, 123,801,2274,,,,,,,,,,,,, ,1237,○,  30,1032,2269, ,1335,○,  65,696,2031, ,1190,○,  44,0,1190,,,,,,, ,971,○,  38,0,971, ,1355,○,  39,0,1355
16, ,1119,C,  94,0,1119, ,1004,C, 322,0,1004, ,1149,○, 166,0,1149, ,1267,○,  73,1267,0, ,1726,A,  28,1462,3188, ,982,○, 145,0,982,平間　宏, ,1671,A,  19,1803,3474,,,,,,,20211215, ,971,○, 107,0,971, ,1104,C, 116,0,1104,東京都中央区日本橋本町４－１２－１９,2230001001055,佐藤工業（株）, ,1267,○,  61,0,1267, ,944,B,  85,0,944, ,1030,○, 355,0,1030, ,1370,○, 911,0,1370, ,1008,○, 264,0,1008, ,1270,○,  39,0,1270, ,1279,○,  74,0,1279, ,1283,○,  49,799,2082, ,1149,○,  55,0,1149, ,1052,○, 272,0,1052,,,,,,, ,1286,○,  57,0,1286
17, ,1709,B, 220,0,1709, ,1215,C, 260,0,1215, ,1580,○, 117,0,1580, ,1536,○,  18,1536,0, ,2044,A,   1,2069,4113, ,1152,○,  84,0,1152,井上　和幸, ,2014,A,   2,1994,4008, ,1471,○, 212,0,1471,20211215, ,1423,○,  57,0,1423, ,1545,B, 364,0,1545,東京都中央区京橋２－１６－１,1010401013565,清水建設（株）, ,1683,○,  24,0,1683, ,1212,B,  14,0,1212, ,1644,○, 188,0,1644, ,1731,○,  31,906,2637, ,1547,○, 132,0,1547, ,1677,○,   6,0,1677, ,1710,○,   9,1494,3204, ,1610,○, 245,0,1610, ,1480,○,  19,0,1480, ,1573,○, 133,0,1573, ,1071,○,  30,0,1071, ,1846,○,   8,0,1846
18, ,1140,C,  75,0,1140, ,867,C, 492,0,867, ,1102,○, 176,0,1102, ,1196,○, 105,1196,0, ,1703,A,  14,1839,3542, ,865,○, 320,0,865,銭高　久善, ,1547,A,  31,1745,3292,,,,,,,20211215, ,864,○, 158,0,864, ,938,C, 293,0,938,大阪府大阪市西区西本町２－２－４,5120001049004,（株）錢高組, ,1196,○,  76,0,1196, ,883,B, 131,0,883,,,,,,, ,1196,○, 991,0,1196,,,,,,, ,1234,○,  49,0,1234, ,1406,○,  21,1383,2789, ,1206,○, 363,0,1206, ,869,○, 194,0,869,,,,,,,,,,,,, ,1234,○,  71,0,1234
19, ,1760,B, 192,0,1760, ,1467,C, 193,0,1467, ,1671,○, 103,0,1671, ,1572,○,  15,1572,0, ,2070,A,  10,1528,3598, ,1452,○,  51,0,1452,相川　善郎, ,2050,A,   5,1915,3965, ,1480,○, 208,0,1480,20211215, ,1493,○,  52,0,1493, ,1703,B, 289,0,1703,東京都新宿区西新宿１－２５－１,4011101011880,大成建設（株）, ,1731,○,  23,0,1731, ,1401,B,   2,0,1401, ,1620,○, 197,0,1620, ,1821,○,   7,1140,2961, ,1338,○, 185,0,1338, ,1675,○,   7,0,1675, ,1790,○,  13,1305,3095, ,1714,○, 197,0,1714, ,1717,○,  10,0,1717, ,1602,○, 123,0,1602,,,,,,, ,1757,○,  11,0,1757
20,,,,,,, ,1215,C, 259,0,1215, ,1160,○, 163,0,1160,-01,1346,○,  52,1346,0, ,1231,D,  57,0,1231, ,1137,○,  88,0,1137,竹中　康一, ,1815,A,  17,1791,3606,,,,,,,20211215, ,1109,○,  84,0,1109,,,,,,,東京都江東区新砂１－１－１,4010601030580,（株）竹中土木, ,1346,○,   5,899,2245, ,1173,B,  17,0,1173, ,1114,○, 313,0,1114, ,1346,○, 927,0,1346,,,,,,,,,,,,, ,1382,○,  58,0,1382, ,1419,○,  26,808,2227, ,1160,○,  50,0,1160,,,,,,,,,,,,,,,,,,
21, ,1096,C, 116,0,1096, ,1174,C, 267,0,1174, ,1231,○, 148,0,1231, ,1357,○,  49,1357,0, ,1774,A,  19,1652,3426, ,1174,○,  78,0,1174,伊藤　泰司, ,1832,A,  14,1803,3635,,,,,,,20211215, ,933,○, 120,0,933, ,1040,C, 158,0,1040,東京都千代田区神田三崎町２－５－３,2010001008709,鉄建建設（株）, ,1357,○,  49,0,1357, ,1001,B,  56,0,1001, ,1238,○, 270,0,1238, ,1454,○, 868,0,1454, ,1113,○, 235,0,1113, ,1332,○,  29,0,1332, ,1488,○,  16,1467,2955, ,1357,○, 337,0,1357, ,1231,○,  37,0,1231, ,1040,○, 277,0,1040,,,,,,, ,1332,○,  45,0,1332
22, ,1142,C,  73,0,1142, ,1074,C, 286,0,1074, ,1173,○, 162,0,1173, ,1471,○,  26,1471,0, ,1702,A,  37,1221,2923, ,974,○, 150,0,974,秋山　優樹, ,1833,A,  21,1610,3443, ,1209,○, 274,0,1209,20211215, ,1583,○,   1,1548,3131, ,1112,C, 104,0,1112,東京都新宿区西新宿３－７－１,3011101055078,東亜建設工業（株）, ,1408,○,  41,0,1408, ,1016,B,  50,0,1016, ,1223,○, 277,0,1223, ,1492,○,  42,1068,2560, ,968,○, 290,0,968, ,1396,○,  22,0,1396, ,1379,○,  34,844,2223, ,1485,○,  20,837,2322, ,1151,○,  53,0,1151, ,987,○, 315,0,987,,,,,,, ,1437,○,   1,1306,2743
23, ,1343,B, 327,0,1343, ,1209,C, 262,0,1209, ,1224,○,  26,1427,2651, ,1365,○,  47,1365,0, ,1868,A,   5,1953,3821, ,1161,○,  83,0,1161,寺田　光宏, ,1809,A,  15,1826,3635, ,1314,○, 251,0,1314,20211215, ,1077,○,  87,0,1077, ,1299,C,  33,0,1299,東京都渋谷区渋谷１－１６－１４,9011001040166,東急建設（株）, ,1365,○,  47,0,1365, ,1131,B,  22,0,1131, ,1314,○, 253,0,1314, ,1365,○, 913,0,1365, ,1256,○, 201,0,1256,,,,,,, ,1331,○,  66,0,1331, ,1431,○,   4,1170,2601, ,1224,○,  39,0,1224, ,1164,○, 229,0,1164,,,,,,, ,1631,○,  19,0,1631
24, ,1438,B, 306,0,1438, ,1234,B,  17,1061,2295, ,1541,○,  37,853,2394, ,1648,○,   6,1648,0, ,1995,A,  15,1530,3525, ,1234,○,  72,0,1234,大谷　清介, ,1979,A,   4,1994,3973, ,1300,○, 254,0,1300,20211215, ,1273,○,  70,0,1273, ,1482,B, 386,0,1482,東京都中央区八丁堀２－８－５,6010001034874,戸田建設（株）, ,1501,○,  32,0,1501, ,1132,A,  35,911,2043, ,1300,○, 255,0,1300, ,1577,○,  85,812,2389, ,1057,○, 246,0,1057, ,1517,○,  11,0,1517, ,1449,○,  28,936,2385, ,1501,○,  21,801,2302, ,1378,○,  27,0,1378, ,1364,○, 166,0,1364,,,,,,, ,1555,○,  23,0,1555
25, ,1197,C,  54,0,1197, ,1052,C, 299,0,1052, ,1141,○, 169,0,1141, ,1343,○,  53,1343,0, ,1682,A,  11,1905,3587, ,1052,○, 109,0,1052,乘京　正弘, ,1760,A,  12,1898,3658,,,,,,,20211215, ,1154,○,  78,0,1154, ,1052,C, 148,0,1052,東京都港区港南１－８－１５　Ｗビル　５Ｆ,8010001008703,飛島建設（株）, ,1321,○,  55,0,1321, ,969,B,  72,0,969,,,,,,, ,1457,○,  26,1209,2666, ,914,○, 334,0,914, ,1287,○,  36,0,1287, ,1383,○,  33,852,2235, ,1348,○,  35,809,2157, ,1141,○,  59,0,1141, ,1034,○, 283,0,1034,,,,,,, ,1394,○,  34,0,1394
26,,,,,,,,,,,,, ,1673,○,   3,1899,3572, ,1547,○,  16,1547,0, ,1306,D,  23,0,1306,,,,,,,石原　進, ,1346,B,  33,1537,2883,,,,,,,20211215,,,,,,, ,975,C, 232,0,975,大阪府堺市堺区大浜西町３,5120101023932,（株）ＩＨＩインフラシステム,,,,,,,,,,,,, ,1563,○,   3,1686,3249, ,1323,○, 942,0,1323, ,946,○, 306,0,946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,, ,849,C, 537,0,849, ,1044,○, 194,0,1044, ,1162,○, 122,1162,0, ,1424,B,  75,994,2418, ,837,○, 407,0,837,逢澤　寛人, ,1473,B,   3,1731,3204,,,,,,,20211215, ,969,○,  23,1002,1971, ,912,C, 339,0,912,岡山県岡山市北区表町１－５－１,4260001000102,アイサワ工業（株）, ,1162,○,  86,0,1162, ,872,B, 139,0,872, ,865,○, 502,0,865, ,1162,○,1008,0,1162,,,,,,, ,1136,○,  74,0,1136, ,1071,○, 119,0,1071, ,1162,○, 381,0,1162, ,1044,○,  81,0,1044,,,,,,,,,,,,, ,1136,○, 112,0,1136
28,,,,,,, ,947,C, 352,0,947, ,1085,○, 178,0,1085, ,1247,○,  79,1247,0, ,1130,D, 139,0,1130, ,947,○, 171,0,947,河邊　知之, ,1588,B,  18,1459,3047,,,,,,,20211215, ,1386,○,   3,1441,2827,,,,,,,東京都千代田区外神田２－２－３,6010401076946,あおみ建設（株）, ,1247,○,  67,0,1247, ,908,B, 107,0,908,,,,,,, ,1247,○, 100,1092,2339,,,,,,,,,,,,, ,1151,○,  92,0,1151, ,1247,○, 354,0,1247,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,, ,892,C, 433,0,892,,,,,,,,,,,,, ,1509,B,  25,1158,2667, ,892,○, 260,0,892,池内　茂雄, ,1438,B,  21,1580,3018,,,,,,,20211215, ,1260,○,   9,1068,2328,,,,,,,和歌山県和歌山市小松原通３－６９,4170001000086,（株）淺川組,,,,,,, ,892,B, 125,0,892,,,,,,, ,1168,○,1003,0,1168,,,,,,,,,,,,, ,1096,○, 112,0,1096, ,1168,○,  28,1047,2215, ,1067,○,  75,0,1067,,,,,,,,,,,,,,,,,,
30, ,1279,C,  14,0,1279, ,872,C, 482,0,872, ,1262,○, 145,0,1262, ,1211,○,  94,1211,0, ,1758,A,  17,1738,3496, ,872,○, 305,0,872,浅沼　誠, ,1548,B,  11,1583,3131, ,1064,○, 328,0,1064,20211215, ,872,○, 152,0,872, ,1072,C, 138,0,1072,大阪府大阪市浪速区湊町１－２－３マルイト難波ビル,8120001022651,（株）淺沼組, ,1211,○,  75,0,1211, ,899,B, 112,0,899, ,1093,○, 321,0,1093, ,1266,○, 130,990,2256, ,963,○, 296,0,963, ,1280,○,  38,0,1280, ,1240,○,  77,0,1240, ,1267,○,  53,805,2072, ,1189,○,   5,787,1976, ,1036,○, 280,0,1036,,,,,,, ,1280,○,  58,0,1280
31, ,988,C, 219,0,988, ,899,C, 422,0,899, ,983,○,  48,1179,2162, ,1287,○,  68,1287,0, ,1401,B,   3,1382,2783, ,899,○, 242,0,899,馬場　公勝, ,1382,B,   8,1787,3169, ,961,○, 387,0,961,20211215, ,868,○, 157,0,868, ,845,C, 501,0,845,兵庫県西宮市池田町１２－２０,9140001067900,（株）新井組, ,1209,○,  10,889,2098, ,870,B, 144,0,870, ,961,○, 401,0,961, ,1116,○,  45,1425,2541, ,815,○, 459,0,815, ,1113,○,  79,0,1113, ,1034,○, 135,0,1034, ,1187,○,  91,768,1955, ,983,○, 106,0,983, ,845,○, 490,0,845,,,,,,, ,1113,○, 122,0,1113
32, ,929,C, 317,0,929, ,884,C, 450,0,884, ,1175,○,  56,896,2071,,,,,,, ,1455,C, 484,0,1455, ,840,○, 399,0,840,玉木　勝美, ,1422,B,  35,1451,2873,,,,,,,20211215, ,821,○, 192,0,821,,,,,,,北海道札幌市中央区北４条西４－１,8430001001830,伊藤組土建（株）, ,1113,○, 102,0,1113, ,829,B, 200,0,829,,,,,,, ,1171,○,1001,0,1171, ,863,○, 382,0,863,,,,,,, ,1028,○, 139,0,1028, ,1113,○,  99,822,1935, ,908,○, 157,0,908,,,,,,,,,,,,,,,,,,
