,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_technical_score,woodenbuiliding_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,airconditioning_qualification,airconditioning_rank,airconditioning_exception,airconditioning_financial_score,airconditioning_technical_score,airconditioning_total_score,cement_qualification,cement_rank,cement_exception,cement_financial_score,cement_technical_score,cement_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,slope_qualification,slope_rank,slope_exception,slope_financial_score,slope_technical_score,slope_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,stakeout_qualification,stakeout_rank,stakeout_exception,stakeout_financial_score,stakeout_technical_score,stakeout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,prefab_qualification,prefab_rank,prefab_exception,prefab_financial_score,prefab_technical_score,prefab_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,communication_qualification,communication_rank,communication_exception,communication_financial_score,communication_technical_score,communication_total_score,substation_qualification,substation_rank,substation_exception,substation_financial_score,substation_technical_score,substation_total_score,bridgemaintenance_qualification,bridgemaintenance_rank,bridgemaintenance_exception,bridgemaintenance_financial_score,bridgemaintenance_technical_score,bridgemaintenance_score,date
10,鹿島建設（株）,天野　裕正,東京都港区元赤坂１－３－１,8010401006744,A,   1, ,2022,2051,4073,C, 137, ,1399,0,1399,○, 129, ,1411,0,1411,B,  94, ,1094,0,1094,A,   3, ,2042,1870,3912,○,  18, ,1678,0,1678,C, 131, ,1434,0,1434,C,   4, ,1432,0,1432,○,  48, ,1375,0,1375,○,   7, ,1732,1504,3236,○, 324, ,1544,0,1544,○, 220, ,1194,0,1194,○,  36, ,1588,1006,2594,○,  69, ,1398,0,1398,○,  29, ,1544,0,1544,○,  23, ,1411,0,1411,○,  35, ,1069,0,1069,○,   9, ,1625,0,1625,○, 224, ,1514,0,1514,○, 229, ,1400,0,1400,○, 141, ,1438,0,1438,○,  17, ,1544,0,1544,20211115
11,（株）熊谷組,櫻野　泰則,東京都新宿区津久戸町２－１,1210001001082,A,  10, ,1863,1813,3676,C, 171, ,1163,0,1163,○, 133, ,1362,0,1362,B,  81, ,1160,0,1160,A,  13, ,1872,1680,3552,○,  31, ,1443,0,1443,C, 193, ,1213,0,1213,C,  78, ,1213,0,1213,○,  66, ,1163,0,1163,○,  56, ,1578,0,1578,○, 319, ,1562,0,1562,○, 297, ,963,0,963,○,  20, ,1576,1135,2711,○,  86, ,1168,0,1168,○,  44, ,1385,0,1385,○,  32, ,1277,0,1277,,,,,,,○,  23, ,1394,0,1394,○, 284, ,1243,0,1243,○, 264, ,1243,0,1243,○, 216, ,1166,0,1166,○,  41, ,1385,0,1385,20211115
12,（株）鴻池組,渡津　弘己,大阪府大阪市中央区北久宝寺町３－６－１,5120001026309,A,  11, ,1843,1832,3675,C, 185, ,1090,0,1090,○, 136, ,1331,0,1331,B, 109, ,1019,0,1019,A,   7, ,1909,1868,3777,○,  24, ,1523,0,1523,C, 172, ,1280,0,1280,C,   7, ,1426,0,1426,○,  99, ,1032,0,1032,○,  27, ,1479,949,2428,○,  34, ,1407,803,2210,○, 248, ,1065,0,1065,○, 829, ,1407,0,1407,○, 113, ,1004,0,1004,○,  41, ,1407,0,1407,○,  29, ,1331,0,1331,,,,,,,○,  17, ,1431,0,1431,○, 304, ,1183,0,1183,○, 332, ,1039,0,1039,○, 167, ,1311,0,1311,○,  11, ,1597,0,1597,20211115
13,五洋建設（株）,清水　琢三,東京都文京区後楽２－２－８,1010001000006,A,   9, ,1907,1838,3745,C, 150, ,1339,0,1339,○, 123, ,1464,0,1464,B,  99, ,1067,0,1067,A,   6, ,1879,1922,3801,○,   3, ,1450,880,2330,C, 182, ,1251,0,1251,C,  38, ,1290,0,1290,○,  49, ,1373,0,1373,○,  25, ,1473,1146,2619,○,  25, ,1478,805,2283,○, 277, ,987,0,987,○,  18, ,1554,1207,2761,○,   6, ,1591,1093,2684,○,  27, ,1606,0,1606,○,  62, ,1118,0,1118,,,,,,,,,,,,,○, 230, ,1466,0,1466,,,,,,,,,,,,,○,  34, ,1429,0,1429,20211115
14,前田建設工業（株）,前田　操治,東京都千代田区富士見２－１０－２,4010001008789,A,   6, ,1965,1989,3954,C, 154, ,1297,0,1297,○, 122, ,1495,0,1495,B,  41, ,1415,0,1415,B,   5, ,1969,887,2856,○,  17, ,1698,0,1698,C, 145, ,1376,0,1376,B, 244, ,1463,0,1463,○,  60, ,1202,0,1202,○,  14, ,1634,1428,3062,○,  13, ,1602,837,2439,,,,,,,○,  53, ,1655,826,2481,○,  78, ,1333,0,1333,○,  32, ,1487,0,1487,○,  28, ,1350,0,1350,,,,,,,○,   5, ,1848,0,1848,○, 111, ,1372,630,2002,,,,,,,○, 173, ,1286,0,1286,○,   5, ,1662,0,1662,20211115
15,三井住友建設（株）,近藤　重敏,東京都中央区佃２－１－６,2010001131477,A,  16, ,1849,1784,3633,C, 210, ,1021,0,1021,○, 139, ,1284,0,1284,B, 115, ,1007,0,1007,A,  18, ,1865,1614,3479,○,  26, ,1492,0,1492,C, 234, ,1119,0,1119,C,  46, ,1280,0,1280,○, 102, ,1021,0,1021,○,   2, ,1720,1794,3514,○,  27, ,1447,808,2255,○, 242, ,1095,0,1095,○,  69, ,1558,853,2411,○,  93, ,1124,0,1124,○,  33, ,1478,0,1478,○,  30, ,1284,0,1284,,,,,,,○,  19, ,1428,0,1428,○, 264, ,1338,0,1338,○, 260, ,1253,0,1253,○, 232, ,1119,0,1119,○,   7, ,1644,0,1644,20211115
16,西松建設（株）,高瀬　伸利,東京都港区虎ノ門１－１７－１,8010401021454,A,   8, ,1882,1929,3811,C, 170, ,1165,0,1165,○, 153, ,1187,0,1187,B,  89, ,1122,0,1122,A,  12, ,1888,1684,3572,○,  25, ,1493,0,1493,C, 199, ,1203,0,1203,C,  22, ,1348,0,1348,○,  65, ,1165,0,1165,○,  35, ,1407,758,2165,○, 331, ,1537,0,1537,○, 224, ,1171,0,1171,○,  28, ,1620,1027,2647,○,  87, ,1163,0,1163,○,  30, ,1539,0,1539,○,  39, ,1215,0,1215,,,,,,,○,  21, ,1410,0,1410,○, 266, ,1323,0,1323,○, 277, ,1187,0,1187,○, 215, ,1169,0,1169,○,  37, ,1404,0,1404,20211115
17,日本国土開発（株）,朝倉　健夫,東京都港区赤坂４－９－９,3010401022812,A,  26, ,1693,1664,3357,C, 217, ,1008,0,1008,○, 152, ,1190,0,1190,B, 128, ,983,0,983,B,  特,-06,1775,1429,3204,○,  40, ,1355,0,1355,C, 238, ,1117,0,1117,C,  39, ,1287,0,1287,○, 130, ,972,0,972,○,  30, ,1237,1032,2269,○,  73, ,1335,696,2031,,,,,,,○, 117, ,1473,801,2274,○, 111, ,1006,0,1006,○,  52, ,1335,0,1335,○,  42, ,1190,0,1190,○,  42, ,971,0,971,,,,,,,○, 313, ,1154,0,1154,,,,,,,,,,,,,,,,,,,20211115
18,佐藤工業（株）,平間　宏,東京都中央区日本橋本町４－１２－１９,2230001001055,A,  19, ,1671,1803,3474,C, 219, ,1004,0,1004,○, 163, ,1149,0,1149,B, 145, ,944,0,944,A,  28, ,1726,1462,3188,○,  57, ,1286,0,1286,C, 252, ,1104,0,1104,C, 130, ,1119,0,1119,○, 123, ,982,0,982,○,  84, ,1279,0,1279,○,  57, ,1283,799,2082,○, 266, ,1008,0,1008,○, 863, ,1370,0,1370,○, 119, ,971,0,971,○,  61, ,1267,0,1267,○,  53, ,1149,0,1149,,,,,,,○,  38, ,1270,0,1270,○, 373, ,1030,0,1030,,,,,,,○, 263, ,1052,0,1052,○,  73, ,1267,0,1267,20211115
19,清水建設（株）,井上　和幸,東京都中央区京橋２－１６－１,1010401013565,A,   2, ,2014,1994,4008,C, 164, ,1215,0,1215,○, 114, ,1580,0,1580,B,  76, ,1212,0,1212,A,   1, ,2044,2069,4113,○,   9, ,1846,0,1846,C,  92, ,1545,0,1545,B, 185, ,1709,0,1709,○,  68, ,1152,0,1152,○,   9, ,1710,1494,3204,○, 276, ,1610,0,1610,○, 118, ,1547,0,1547,○,  31, ,1731,906,2637,○,  67, ,1423,0,1423,○,  25, ,1683,0,1683,○,  19, ,1480,0,1480,○,  34, ,1071,0,1071,○,   6, ,1677,0,1677,○, 190, ,1644,0,1644,○, 211, ,1471,0,1471,○, 119, ,1573,0,1573,○,  18, ,1536,0,1536,20211115
20,（株）錢高組,銭高　久善,大阪府大阪市西区西本町２－２－４,5120001049004,A,  31, ,1547,1745,3292,C, 366, ,867,0,867,○, 173, ,1102,0,1102,B, 198, ,883,0,883,A,  14, ,1703,1839,3542,○,  72, ,1234,0,1234,C, 434, ,938,0,938,C, 109, ,1140,0,1140,○, 255, ,865,0,865,○,  21, ,1406,1383,2789,○, 450, ,1206,0,1206,,,,,,,○, 961, ,1196,0,1196,○, 167, ,864,0,864,○,  76, ,1196,0,1196,○, 179, ,869,0,869,,,,,,,○,  49, ,1234,0,1234,,,,,,,,,,,,,,,,,,,○, 102, ,1196,0,1196,20211115
21,大成建設（株）,相川　善郎,東京都新宿区西新宿１－２５－１,4011101011880,A,   5, ,2050,1915,3965,C, 100, ,1467,0,1467,○, 102, ,1671,0,1671,B,  42, ,1401,0,1401,A,  10, ,2070,1528,3598,○,  12, ,1757,0,1757,C,  25, ,1703,0,1703,B, 163, ,1760,0,1760,○,  41, ,1452,0,1452,○,  12, ,1790,1305,3095,○, 208, ,1714,0,1714,○, 186, ,1338,0,1338,○,   7, ,1821,1140,2961,○,  61, ,1493,0,1493,○,  23, ,1731,0,1731,○,  10, ,1717,0,1717,,,,,,,○,   7, ,1675,0,1675,○, 198, ,1620,0,1620,○, 208, ,1480,0,1480,○, 111, ,1602,0,1602,○,  15, ,1572,0,1572,20211115
22,（株）竹中土木,竹中　康一,東京都江東区新砂１－１－１,4010601030580,A,  17, ,1815,1791,3606,C, 163, ,1215,0,1215,○, 160, ,1160,0,1160,B,  80, ,1173,0,1173,D, 184, ,1231,0,1231,,,,,,,,,,,,,,,,,,,○,  72, ,1137,0,1137,○,  68, ,1382,0,1382,○,  31, ,1419,808,2227,,,,,,,○, 880, ,1346,0,1346,○,  96, ,1109,0,1109,○,   5, ,1346,899,2245,○,  48, ,1160,0,1160,,,,,,,,,,,,,○, 329, ,1114,0,1114,,,,,,,,,,,,,○,  52,-01,1346,0,1346,20211115
23,鉄建建設（株）,伊藤　泰司,東京都千代田区神田三崎町２－５－３,2010001008709,A,  14, ,1832,1803,3635,C, 169, ,1174,0,1174,○, 145, ,1231,0,1231,B, 117, ,1001,0,1001,A,  19, ,1774,1652,3426,○,  46, ,1332,0,1332,C, 302, ,1040,0,1040,C, 152, ,1096,0,1096,○,  62, ,1174,0,1174,○,  16, ,1488,1467,2955,○, 412, ,1357,0,1357,○, 239, ,1113,0,1113,○, 792, ,1454,0,1454,○, 131, ,933,0,933,○,  49, ,1357,0,1357,○,  35, ,1231,0,1231,,,,,,,○,  28, ,1332,0,1332,○, 286, ,1238,0,1238,,,,,,,○, 269, ,1040,0,1040,○,  49, ,1357,0,1357,20211115
24,東亜建設工業（株）,秋山　優樹,東京都新宿区西新宿３－７－１,3011101055078,A,  21, ,1833,1610,3443,C, 189, ,1074,0,1074,○, 159, ,1173,0,1173,B, 111, ,1016,0,1016,A,  40, ,1702,1221,2923,○,   1, ,1437,1306,2743,C, 240, ,1112,0,1112,C, 107, ,1142,0,1142,○, 127, ,974,0,974,○,  34, ,1379,844,2223,○,  22, ,1485,837,2322,○, 290, ,968,0,968,○,  43, ,1492,1068,2560,○,   1, ,1583,1548,3131,○,  40, ,1408,0,1408,○,  51, ,1151,0,1151,,,,,,,○,  22, ,1396,0,1396,○, 292, ,1223,0,1223,○, 267, ,1209,0,1209,○, 306, ,987,0,987,○,  25, ,1471,0,1471,20211115
25,東急建設（株）,寺田　光宏,東京都渋谷区渋谷１－１６－１４,9011001040166,A,  15, ,1809,1826,3635,C, 166, ,1209,0,1209,○,  26, ,1224,1427,2651,B,  85, ,1131,0,1131,A,   5, ,1868,1953,3821,○,  19, ,1631,0,1631,C, 165, ,1299,0,1299,C,  23, ,1343,0,1343,○,  67, ,1161,0,1161,○,  75, ,1331,0,1331,○,   4, ,1431,1170,2601,○, 207, ,1256,0,1256,○, 869, ,1365,0,1365,○,  99, ,1077,0,1077,○,  47, ,1365,0,1365,○,  37, ,1224,0,1224,,,,,,,,,,,,,○, 268, ,1314,0,1314,○, 245, ,1314,0,1314,○, 217, ,1164,0,1164,○,  47, ,1365,0,1365,20211115
26,東洋建設（株）,武澤　恭司,東京都千代田区神田神保町１－１０５,9120001077496,A,  28, ,1828,1507,3335,C, 180, ,1117,0,1117,○, 158, ,1175,0,1175,B,  91, ,1109,0,1109,B,  特,-01,1720,1640,3360,○,   5, ,1312,845,2157,C, 213, ,1159,0,1159,C, 112, ,1135,0,1135,○,  76, ,1116,0,1116,○,  60, ,1478,0,1478,○, 390, ,1445,0,1445,○, 237, ,1115,0,1115,○,  42, ,1535,1026,2561,○,   2, ,1563,1300,2863,○,   1, ,1536,979,2515,○,  64, ,1117,0,1117,,,,,,,○,  31, ,1312,0,1312,○, 255, ,1366,0,1366,,,,,,,○, 244, ,1083,0,1083,○,  45, ,1372,0,1372,20211115
27,戸田建設（株）,大谷　清介,東京都中央区八丁堀２－８－５,6010001034874,A,   4, ,1979,1994,3973,B,  17, ,1234,1061,2295,○,  36, ,1541,853,2394,A,  33, ,1132,911,2043,A,  15, ,1995,1530,3525,○,  23, ,1555,0,1555,C, 112, ,1482,0,1482,C,   3, ,1438,0,1438,○,  56, ,1234,0,1234,○,  28, ,1449,936,2385,○,  23, ,1501,801,2302,○, 249, ,1057,0,1057,○,  78, ,1577,812,2389,○,  82, ,1273,0,1273,○,  31, ,1501,0,1501,○,  25, ,1378,0,1378,,,,,,,○,  11, ,1517,0,1517,○, 269, ,1300,0,1300,○, 249, ,1300,0,1300,○, 153, ,1364,0,1364,○,   6, ,1648,0,1648,20211115
28,飛島建設（株）,乘京　正弘,東京都港区港南１－８－１５,8010001008703,A,  12, ,1760,1898,3658,C, 199, ,1052,0,1052,○, 166, ,1141,0,1141,B, 135, ,969,0,969,A,  11, ,1682,1905,3587,○,  35, ,1394,0,1394,C, 287, ,1052,0,1052,C,  88, ,1197,0,1197,○,  89, ,1052,0,1052,○,  33, ,1383,852,2235,○,  40, ,1348,809,2157,○, 333, ,914,0,914,○,  29, ,1457,1187,2644,○,  90, ,1154,0,1154,○,  55, ,1321,0,1321,○,  57, ,1141,0,1141,,,,,,,○,  35, ,1287,0,1287,,,,,,,,,,,,,○, 275, ,1034,0,1034,○,  53, ,1343,0,1343,20211115
29,（株）ＩＨＩインフラシステム,石原　進,大阪府堺市堺区大浜西町３,5120101023932,B,  28, ,1346,1537,2883,,,,,,,○,   3, ,1673,1900,3573,,,,,,,D, 149, ,1306,0,1306,,,,,,,C, 366, ,975,0,975,,,,,,,,,,,,,,,,,,,,,,,,,○, 308, ,946,0,946,○, 900, ,1323,0,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,   3, ,1563,1689,3252,,,,,,,,,,,,,○,  16, ,1547,0,1547,20211115
30,あおみ建設（株）,河邊　知之,東京都千代田区外神田２－２－３,6010401076946,B,  13, ,1588,1459,3047,C, 241, ,947,0,947,○, 175, ,1085,0,1085,B, 176, ,908,0,908,D, 272, ,1130,0,1130,,,,,,,,,,,,,,,,,,,○, 149, ,947,0,947,○, 102, ,1151,0,1151,○, 438, ,1247,0,1247,,,,,,,○,  85, ,1247,1127,2374,○,   3, ,1386,1441,2827,○,  67, ,1247,0,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,  79, ,1247,0,1247,20211115
31,（株）淺沼組,浅沼　誠,大阪府大阪市浪速区湊町１－２－３　マルイト難波ビル,8120001022651,B,   6, ,1548,1583,3131,C, 354, ,872,0,872,○, 143, ,1262,0,1262,B, 182, ,899,0,899,A,  17, ,1758,1738,3496,○,  58, ,1280,0,1280,C, 278, ,1072,0,1072,C,  47, ,1279,0,1279,○, 245, ,872,0,872,○,  87, ,1240,0,1240,○,  62, ,1267,805,2072,○, 296, ,963,0,963,○, 100, ,1266,1061,2327,○, 162, ,872,0,872,○,  75, ,1211,0,1211,○,   5, ,1189,787,1976,,,,,,,○,  37, ,1280,0,1280,○, 339, ,1093,0,1093,○, 321, ,1064,0,1064,○, 272, ,1036,0,1036,○,  92, ,1211,0,1211,20211115
32,（株）新井組,馬場　公勝,兵庫県西宮市池田町１２－２０,9140001067900,B,   3, ,1382,1787,3169,C, 305, ,899,0,899,○,  46, ,983,1179,2162,B, 210, ,870,0,870,B,  11, ,1401,1382,2783,○, 114, ,1113,0,1113,C, 668, ,845,0,845,C, 254, ,988,0,988,○, 199, ,899,0,899,○, 140, ,1034,0,1034,○,  97, ,1187,768,1955,○, 454, ,815,0,815,○,  45, ,1116,1421,2537,○, 166, ,868,0,868,○,   9, ,1209,889,2098,○,  97, ,983,0,983,,,,,,,○,  78, ,1113,0,1113,○, 414, ,961,0,961,○, 378, ,961,0,961,○, 488, ,845,0,845,○,  68, ,1287,0,1287,20211115
